Sequence,Action,Element,Old Value,New Value,Association Entity,Location
5,Remove Entity,Cashflow [1],,,,initial values : E0
15,Add Entity,candidate (Candidate) [1],,,,evaluate npv : 1
23,Add Entity,candidate (Candidate) [2],,,,evaluate npv : 1
31,Add Entity,candidate (Candidate) [3],,,,evaluate npv : 1
39,Add Entity,candidate (Candidate) [4],,,,evaluate npv : 1
47,Add Entity,candidate (Candidate) [5],,,,evaluate npv : 1
55,Add Entity,candidate (Candidate) [6],,,,evaluate npv : 1
63,Add Entity,candidate (Candidate) [7],,,,evaluate npv : 1
71,Add Entity,candidate (Candidate) [8],,,,evaluate npv : 1
79,Add Entity,candidate (Candidate) [9],,,,evaluate npv : 1
87,Add Entity,candidate (Candidate) [10],,,,evaluate npv : 1
95,Add Entity,candidate (Candidate) [11],,,,evaluate npv : 1
103,Add Entity,candidate (Candidate) [12],,,,evaluate npv : 1
111,Add Entity,candidate (Candidate) [13],,,,evaluate npv : 1
119,Add Entity,candidate (Candidate) [14],,,,evaluate npv : 1
127,Add Entity,candidate (Candidate) [15],,,,evaluate npv : 1
135,Add Entity,candidate (Candidate) [16],,,,evaluate npv : 1
143,Add Entity,candidate (Candidate) [17],,,,evaluate npv : 1
151,Add Entity,candidate (Candidate) [18],,,,evaluate npv : 1
159,Add Entity,candidate (Candidate) [19],,,,evaluate npv : 1
167,Add Entity,candidate (Candidate) [20],,,,evaluate npv : 1
175,Add Entity,candidate (Candidate) [21],,,,evaluate npv : 1
183,Add Entity,candidate (Candidate) [22],,,,evaluate npv : 1
1,Update Attribute,Investment [1]/irr,,0.05,,initial values : A0
2,Update Attribute,Investment [1]/principal,,-5000,,initial values : B0
7,Update Attribute,cashflow (Cashflow) [2]/portion,,0,,solve each cashflow : B0
8,Update Attribute,cashflow (Cashflow) [7]/portion,,6715.93857,,solve each cashflow : B0
9,Update Attribute,cashflow (Cashflow) [6]/portion,,0,,solve each cashflow : B0
10,Update Attribute,cashflow (Cashflow) [4]/portion,,0,,solve each cashflow : B0
11,Update Attribute,cashflow (Cashflow) [5]/portion,,3290.809899,,solve each cashflow : B0
12,Update Attribute,cashflow (Cashflow) [3]/portion,,1814.058957,,solve each cashflow : B0
13,Update Attribute,Investment [1]/npv,,6820.807426,,evaluate npv : A0
14,Update Attribute,Investment [1]/irr,0.05,0.06,,evaluate npv : 1
16,Update Attribute,candidate (Candidate) [1]/rate,,0.06,,evaluate npv : 1
18,Update Attribute,cashflow (Cashflow) [7]/portion,6715.93857,6344.644864,,solve each cashflow : B0
19,Update Attribute,cashflow (Cashflow) [5]/portion,3290.809899,3168.374653,,solve each cashflow : B0
20,Update Attribute,cashflow (Cashflow) [3]/portion,1814.058957,1779.99288,,solve each cashflow : B0
21,Update Attribute,Investment [1]/npv,6820.807426,6293.012397,,evaluate npv : A0
22,Update Attribute,Investment [1]/irr,0.06,0.07,,evaluate npv : 1
24,Update Attribute,candidate (Candidate) [2]/rate,,0.07,,evaluate npv : 1
26,Update Attribute,cashflow (Cashflow) [7]/portion,6344.644864,5997.080014,,solve each cashflow : B0
27,Update Attribute,cashflow (Cashflow) [5]/portion,3168.374653,3051.580848,,solve each cashflow : B0
28,Update Attribute,cashflow (Cashflow) [3]/portion,1779.99288,1746.877457,,solve each cashflow : B0
